# Race: Unknown
# Tenant: kullamannen
# Year: 2025
# Race URI: 10675.kullamannenbyutmbultra100miles.2025
# Total Finishers: 650
# Scraped: 2025-12-04T15:51:57.294562
rank_scratch,name,race_time,race_time_seconds,country,country_code,age_group,sex,utmb_index,utmb_score,runner_uri,utmb_profile_url
15.0,Andreas SKOGEN,20:21:04,73264.0,Norway,NO,40-44,H,,,4484264.andreas.skogen,https://utmb.world/runner/4484264.andreas.skogen
16.0,Mikael KRISTENSSON,20:25:09,73509.0,Sweden,SE,35-39,H,,,1135875.mikael.kristensson,https://utmb.world/runner/1135875.mikael.kristensson
17.0,Magnus ANUNDSSON,20:42:59,74579.0,Sweden,SE,40-44,H,,,2292411.magnus.anundsson,https://utmb.world/runner/2292411.magnus.anundsson
18.0,Antoine BLUY,20:53:47,75227.0,France,FR,20-34,H,,,427006.antoine.bluy,https://utmb.world/runner/427006.antoine.bluy
19.0,Lenaic MOENNE LOCCOZ,21:03:39,75819.0,France,FR,35-39,H,,,4538636.lenaic.moenneloccoz,https://utmb.world/runner/4538636.lenaic.moenneloccoz
20.0,Magdalena SZNIGIR,21:17:20,76640.0,Poland,PL,20-34,F,,,4308550.magdalena.sznigir,https://utmb.world/runner/4308550.magdalena.sznigir
21.0,Paul SZYNDRALEWICZ,21:18:10,76690.0,France,FR,20-34,H,,,4163043.paul.szyndralewicz,https://utmb.world/runner/4163043.paul.szyndralewicz
22.0,Emil CHRISTENSEN,21:26:45,77205.0,Denmark,DK,20-34,H,,,1189927.emil.christensen,https://utmb.world/runner/1189927.emil.christensen
23.0,Andreas Ladefoged Møller ANDERSEN,21:26:46,77206.0,Denmark,DK,20-34,H,,,4823022.andreasladefogedmoller.andersen,https://utmb.world/runner/4823022.andreasladefogedmoller.andersen
24.0,Patrik JOHANSSON,21:28:34,77314.0,Sweden,SE,50-54,H,,,3816061.patrik.johansson,https://utmb.world/runner/3816061.patrik.johansson
25.0,Robin STENBERG,21:30:23,77423.0,Sweden,SE,40-44,H,,,696571.robin.stenberg,https://utmb.world/runner/696571.robin.stenberg
26.0,Per JOHANSSON,21:45:38,78338.0,Sweden,SE,40-44,H,,,5147385.per.johansson,https://utmb.world/runner/5147385.per.johansson
27.0,Jörgen SCHÖLD,21:49:10,78550.0,Sweden,SE,45-49,H,,,4547962.jorgen.schold,https://utmb.world/runner/4547962.jorgen.schold
28.0,Linda LINDBERG,21:49:57,78597.0,Sweden,SE,50-54,F,,,4173037.linda.lindberg,https://utmb.world/runner/4173037.linda.lindberg
29.0,Kirsi VEHVILÄINEN,21:51:59,78719.0,Finland,FI,40-44,F,,,1390945.kirsi.vehvilainen,https://utmb.world/runner/1390945.kirsi.vehvilainen
30.0,Tobias ANDREASSON,21:56:05,78965.0,Sweden,SE,35-39,H,,,5743847.tobias.andreasson,https://utmb.world/runner/5743847.tobias.andreasson
31.0,Sten ORSVARN,21:57:41,79061.0,Sweden,SE,60-64,H,,,37082.sten.orsvarn,https://utmb.world/runner/37082.sten.orsvarn
32.0,Richard NYLEN,22:11:12,79872.0,Sweden,SE,40-44,H,,,5743853.richard.nylen,https://utmb.world/runner/5743853.richard.nylen
33.0,Petter REPSJØ,22:16:10,80170.0,Norway,NO,35-39,H,,,4568146.petter.repsjo,https://utmb.world/runner/4568146.petter.repsjo
34.0,Nils HERNSTROM,22:19:47,80387.0,Sweden,SE,35-39,H,,,6770623.nils.hernstrom,https://utmb.world/runner/6770623.nils.hernstrom
35.0,Antonio NAVARRO,22:21:31,80491.0,Sweden,SE,50-54,H,,,986669.antonio.navarro,https://utmb.world/runner/986669.antonio.navarro
36.0,Mattias KRISTENSSON,22:25:23,80723.0,Sweden,SE,40-44,H,,,911697.mattias.kristensson,https://utmb.world/runner/911697.mattias.kristensson
37.0,Otto NORIN,22:26:31,80791.0,Sweden,SE,45-49,H,,,4822956.otto.norin,https://utmb.world/runner/4822956.otto.norin
38.0,Justin GARDNER,22:29:51,80991.0,United Kingdom,GB,40-44,H,,,4467982.justin.gardner,https://utmb.world/runner/4467982.justin.gardner
39.0,Fredrik HAUSMANN,22:37:23,81443.0,Norway,NO,35-39,H,,,6317968.fredrik.hausmann,https://utmb.world/runner/6317968.fredrik.hausmann
40.0,Vidar PEDERSEN,22:39:11,81551.0,Norway,NO,45-49,H,,,4834112.vidar.pedersen,https://utmb.world/runner/4834112.vidar.pedersen
41.0,Joel ANDERSSON,22:40:24,81624.0,Sweden,SE,40-44,H,,,5439870.joel.andersson,https://utmb.world/runner/5439870.joel.andersson
41.0,Jon NORDIN,22:40:24,81624.0,Sweden,SE,45-49,H,,,4681572.jon.nordin,https://utmb.world/runner/4681572.jon.nordin
43.0,Enar WARFVINGE,22:41:27,81687.0,Sweden,SE,40-44,H,,,410664.enar.warfvinge,https://utmb.world/runner/410664.enar.warfvinge
44.0,Isabelle STAUB,22:44:41,81881.0,Sweden,SE,50-54,F,,,4710546.isabelle.staub,https://utmb.world/runner/4710546.isabelle.staub
45.0,Fredrik HÄGGKVIST,22:44:55,81895.0,Sweden,SE,35-39,H,,,3377675.fredrik.haggkvist,https://utmb.world/runner/3377675.fredrik.haggkvist
46.0,Emil LILJA,22:46:24,81984.0,Sweden,SE,20-34,H,,,5484352.emil.lilja,https://utmb.world/runner/5484352.emil.lilja
47.0,Annika WESTIN,22:48:23,82103.0,Sweden,SE,45-49,F,,,5478976.annika.westin,https://utmb.world/runner/5478976.annika.westin
48.0,Trygve GRONDAHL,22:50:21,82221.0,Sweden,SE,20-34,H,,,5289171.trygve.grondahl,https://utmb.world/runner/5289171.trygve.grondahl
49.0,Roope VARTIAINEN,23:00:50,82850.0,Finland,FI,20-34,H,,,4329720.roope.vartiainen,https://utmb.world/runner/4329720.roope.vartiainen
50.0,Katarina PERSSON,23:01:11,82871.0,Sweden,SE,50-54,F,,,1843319.katarina.persson,https://utmb.world/runner/1843319.katarina.persson
51.0,Håkan SANDBERG,23:03:52,83032.0,Sweden,SE,45-49,H,,,1960317.hakan.sandberg,https://utmb.world/runner/1960317.hakan.sandberg
52.0,David ROSENBORG,23:12:43,83563.0,Sweden,SE,55-59,H,,,6770787.david.rosenborg,https://utmb.world/runner/6770787.david.rosenborg
53.0,Johannes RIDEFELT,23:16:43,83803.0,Sweden,SE,20-34,H,,,2307549.johannes.ridefelt,https://utmb.world/runner/2307549.johannes.ridefelt
54.0,Bram CECAT,23:19:48,83988.0,Belgium,BE,20-34,H,,,5203226.bram.cecat,https://utmb.world/runner/5203226.bram.cecat
55.0,Rafael FLISBERG,23:20:07,84007.0,Sweden,SE,20-34,H,,,6770725.rafael.flisberg,https://utmb.world/runner/6770725.rafael.flisberg
56.0,Daniel MUSOKE,23:24:50,84290.0,United Kingdom,GB,20-34,H,,,6460592.daniel.musoke,https://utmb.world/runner/6460592.daniel.musoke
57.0,Johan HARVIGSSON,23:26:44,84404.0,Sweden,SE,35-39,H,,,1242723.johan.harvigsson,https://utmb.world/runner/1242723.johan.harvigsson
58.0,Remi HJORTDAHL-KRISTENSEN,23:27:06,84426.0,Norway,NO,35-39,H,,,6770745.remi.hjortdahlkristensen,https://utmb.world/runner/6770745.remi.hjortdahlkristensen
59.0,Thomas JONSSON,23:27:18,84438.0,Sweden,SE,55-59,H,,,508293.thomas.jonsson,https://utmb.world/runner/508293.thomas.jonsson
60.0,Adrian MARTINEZ AZORIN,23:27:43,84463.0,Spain,ES,40-44,H,,,559605.adrian.martinezazorin,https://utmb.world/runner/559605.adrian.martinezazorin
61.0,Tim KARLSSON,23:32:58,84778.0,Sweden,SE,20-34,H,,,6770679.tim.karlsson,https://utmb.world/runner/6770679.tim.karlsson
62.0,Daniel LARSSON,23:37:24,85044.0,Sweden,SE,50-54,H,,,425025.daniel.larsson,https://utmb.world/runner/425025.daniel.larsson
63.0,Alex CRAVCENCO,23:40:47,85247.0,Sweden,SE,35-39,H,,,4292411.alex.cravcenco,https://utmb.world/runner/4292411.alex.cravcenco
64.0,Martin WESTLUND,23:58:29,86309.0,Sweden,SE,45-49,H,,,4202099.martin.westlund,https://utmb.world/runner/4202099.martin.westlund
65.0,Andreas ANDERSSON,23:59:28,86368.0,Sweden,SE,35-39,H,,,6770607.andreas.andersson,https://utmb.world/runner/6770607.andreas.andersson
66.0,Peter HALLDÉN,24:02:21,86541.0,Sweden,SE,40-44,H,,,1619803.peter.hallden,https://utmb.world/runner/1619803.peter.hallden
67.0,Gautier MACAREZ,24:06:16,86776.0,France,FR,35-39,H,,,1805521.gautier.macarez,https://utmb.world/runner/1805521.gautier.macarez
68.0,Martin JOHANSSON,24:06:31,86791.0,Sweden,SE,20-34,H,,,6496229.martin.johansson,https://utmb.world/runner/6496229.martin.johansson
69.0,Linus LIDSTROM,24:06:46,86806.0,Sweden,SE,35-39,H,,,5524811.linus.lidstrom,https://utmb.world/runner/5524811.linus.lidstrom
70.0,Anton LIDBLAD,24:11:04,87064.0,Sweden,SE,45-49,H,,,696407.anton.lidblad,https://utmb.world/runner/696407.anton.lidblad
71.0,Marcus KJELLBERG,24:14:20,87260.0,Sweden,SE,50-54,H,,,1135785.marcus.kjellberg,https://utmb.world/runner/1135785.marcus.kjellberg
72.0,Fredrik ANDERSSON,24:14:54,87294.0,Sweden,SE,35-39,H,,,5118930.fredrik.andersson,https://utmb.world/runner/5118930.fredrik.andersson
73.0,Alexander JOHANSSON,24:15:11,87311.0,Sweden,SE,45-49,H,,,662041.alexander.johansson,https://utmb.world/runner/662041.alexander.johansson
74.0,Christine FORSELL,24:20:13,87613.0,Sweden,SE,40-44,F,,,4716144.christine.forsell,https://utmb.world/runner/4716144.christine.forsell
75.0,Petra PEUHU,24:26:31,87991.0,Finland,FI,50-54,F,,,750790.petra.peuhu,https://utmb.world/runner/750790.petra.peuhu
76.0,Anders NOREN,24:27:24,88044.0,Sweden,SE,50-54,H,,,508777.anders.noren,https://utmb.world/runner/508777.anders.noren
77.0,Mikael ANDERSSON,24:27:56,88076.0,Sweden,SE,45-49,H,,,1355777.mikael.andersson,https://utmb.world/runner/1355777.mikael.andersson
78.0,Birger BOESEL,24:27:57,88077.0,Germany,DE,50-54,H,,,1537615.birger.boesel,https://utmb.world/runner/1537615.birger.boesel
79.0,Joe WALFRIDSON,24:27:59,88079.0,Sweden,SE,50-54,H,,,1355779.joe.walfridson,https://utmb.world/runner/1355779.joe.walfridson
80.0,Mikael BRIXEN,24:32:15,88335.0,Denmark,DK,40-44,H,,,4023456.mikael.brixen,https://utmb.world/runner/4023456.mikael.brixen
81.0,Stefan TVEIT,24:36:16,88576.0,Sweden,SE,35-39,H,,,6047427.stefan.tveit,https://utmb.world/runner/6047427.stefan.tveit
82.0,Andreas NOREN,24:46:16,89176.0,Sweden,SE,50-54,H,,,321149.andreas.noren,https://utmb.world/runner/321149.andreas.noren
83.0,Linnea KARLSSON,24:46:18,89178.0,Sweden,SE,20-34,F,,,5075991.linnea.karlsson,https://utmb.world/runner/5075991.linnea.karlsson
84.0,Antti VUORIO,24:49:22,89362.0,Finland,FI,40-44,H,,,4179812.antti.vuorio,https://utmb.world/runner/4179812.antti.vuorio
85.0,Max SUDERBYS,24:53:23,89603.0,Sweden,SE,40-44,H,,,6770625.max.suderbys,https://utmb.world/runner/6770625.max.suderbys
86.0,Ulf ÅKESSON (Ulf AKESSON),24:56:33,89793.0,Sweden,SE,50-54,H,,,4978416.ulf.akesson,https://utmb.world/runner/4978416.ulf.akesson
87.0,Tim TUVESSON,24:56:53,89813.0,Sweden,SE,35-39,H,,,4301490.tim.tuvesson,https://utmb.world/runner/4301490.tim.tuvesson
88.0,Oscar LINDEBORG,24:57:18,89838.0,Sweden,SE,40-44,H,,,4301495.oscar.lindeborg,https://utmb.world/runner/4301495.oscar.lindeborg
89.0,Johan SUNDGREN,25:01:59,90119.0,Sweden,SE,20-34,H,,,5100464.johan.sundgren,https://utmb.world/runner/5100464.johan.sundgren
90.0,Peter JAKOBSEN,25:02:40,90160.0,Denmark,DK,35-39,H,,,5543852.peter.jakobsen,https://utmb.world/runner/5543852.peter.jakobsen
91.0,Martin WIRSTRÖM,25:04:48,90288.0,Sweden,SE,50-54,H,,,3377505.martin.wirstrom,https://utmb.world/runner/3377505.martin.wirstrom
